"検出 右"
"DATA No","DATE","TIME","検出情報 右 撮像回数","検出情報 右 株番号","検出情報 右 撮像数","検出情報 右 処理時間[s]","検出情報 右 判定値","検出情報 右 スコア","検出情報 右 サイズＸ[mm]","検出情報 右 サイズＹ[mm]","検出情報 右 縦横比","検出情報 右 中心Ｘ[mm]","検出情報 右 中心Ｙ[mm]","検出情報 右 分解能","検出情報 右 積算位置[mm]","検出情報 右 車体昇降[mm]","検出情報 右 外葉押え[mm]","検出情報 右 スコア閾値","検出情報 右 サイズ閾値(小)[mm]","検出情報 右 サイズ閾値(大)[mm]","検出情報 右 縦横比閾値"
33,2025/12/17,11:18:56,249,7,1,1.290000E+02,1,1000,1.181900E+04,9.582000E+03,1.200000E+01,6.490200E+04,5.942600E+04,3.338800E+04,2.911100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
34,2025/12/17,11:18:59,250,8,1,1.330000E+02,5,905,8.747000E+03,5.175000E+03,1.600000E+01,6.470200E+04,3.662200E+04,3.338800E+04,3.609000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
35,2025/12/17,11:18:59,251,8,2,1.270000E+02,4,571,1.071700E+04,3.405000E+03,3.100000E+01,6.456800E+04,3.515300E+04,3.338800E+04,3.898800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
36,2025/12/17,11:18:59,252,8,3,1.070000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,7.811000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
37,2025/12/17,11:19:00,253,8,4,1.230000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.196100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
38,2025/12/17,11:19:00,254,8,5,1.290000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.597800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
39,2025/12/17,11:19:00,255,8,6,1.260000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,1.982100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
40,2025/12/17,11:19:01,256,8,7,1.010000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,2.365800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
41,2025/12/17,11:19:01,257,9,1,1.120000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.037900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
42,2025/12/17,11:19:02,258,9,2,1.050000E+02,2,0,0.000000E+00,0.000000E+00,3.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.416000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
