一括変更
                  モジュール名,    デバイス,             現在値,          表示形式,コメント
ｸﾞﾛｰﾊﾞﾙ,DM11702,8653,10進数16BIT,車体位置x [mm] HL
ｸﾞﾛｰﾊﾞﾙ,DM11703,49408,10進数16BIT,車体位置x [mm] HH
ｸﾞﾛｰﾊﾞﾙ,DM11704,27636,10進数16BIT,車体位置y [mm] LL
ｸﾞﾛｰﾊﾞﾙ,DM11705,54273,10進数16BIT,車体位置y [mm] LH
ｸﾞﾛｰﾊﾞﾙ,DM11706,13353,10進数16BIT,車体位置y [mm] HL
ｸﾞﾛｰﾊﾞﾙ,DM11707,16628,10進数16BIT,車体位置y [mm] HH
ｸﾞﾛｰﾊﾞﾙ,DM11708,6924,10進数16BIT,車体角度 [deg] L
ｸﾞﾛｰﾊﾞﾙ,DM11709,16785,10進数16BIT,車体角度 [deg] H
ｸﾞﾛｰﾊﾞﾙ,DM11710,0,10進数16BIT,帰還速度x [rpm] LL
ｸﾞﾛｰﾊﾞﾙ,DM11711,24576,10進数16BIT,帰還速度x [rpm] LH
ｸﾞﾛｰﾊﾞﾙ,DM11712,29204,10進数16BIT,帰還速度x [rpm] HL
ｸﾞﾛｰﾊﾞﾙ,DM11713,16526,10進数16BIT,帰還速度x [rpm] HH
ｸﾞﾛｰﾊﾞﾙ,DM11714,0,10進数16BIT,帰還速度y [rpm] LL
ｸﾞﾛｰﾊﾞﾙ,DM11715,40960,10進数16BIT,帰還速度y [rpm] LH
ｸﾞﾛｰﾊﾞﾙ,DM11716,23408,10進数16BIT,帰還速度y [rpm] HL
ｸﾞﾛｰﾊﾞﾙ,DM11717,16526,10進数16BIT,帰還速度y [rpm] HH
ｸﾞﾛｰﾊﾞﾙ,DM11718,62890,10進数16BIT,並進速度 [mm/s] L
ｸﾞﾛｰﾊﾞﾙ,DM11719,17140,10進数16BIT,並進速度 [mm/s] H
ｸﾞﾛｰﾊﾞﾙ,DM11720,28085,10進数16BIT,角速度 [rad/s] L
ｸﾞﾛｰﾊﾞﾙ,DM11721,14731,10進数16BIT,角速度 [rad/s] H
ｸﾞﾛｰﾊﾞﾙ,DM11722,0,10進数16BIT,ｴﾗｰｺｰﾄﾞ L
ｸﾞﾛｰﾊﾞﾙ,DM11723,0,10進数16BIT,ｴﾗｰｺｰﾄﾞ H
ｸﾞﾛｰﾊﾞﾙ,DM11724,43254,10進数16BIT,補正値R L
ｸﾞﾛｰﾊﾞﾙ,DM11725,16159,10進数16BIT,補正値R H
ｸﾞﾛｰﾊﾞﾙ,DM11726,44564,10進数16BIT,補正値R 0基準 L
ｸﾞﾛｰﾊﾞﾙ,DM11727,48832,10進数16BIT,補正値R 0基準 H
ｸﾞﾛｰﾊﾞﾙ,DM11728,11141,10進数16BIT,補正値L L
ｸﾞﾛｰﾊﾞﾙ,DM11729,16304,10進数16BIT,補正値L H
ｸﾞﾛｰﾊﾞﾙ,DM11730,44564,10進数16BIT,補正値L 0基準 L
ｸﾞﾛｰﾊﾞﾙ,DM11731,16064,10進数16BIT,補正値L 0基準 H
ｸﾞﾛｰﾊﾞﾙ,DM11732,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11733,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11734,22904,10進数16BIT,車体位置x (ﾓﾆﾀ用) [mm] L
ｸﾞﾛｰﾊﾞﾙ,DM11735,65334,10進数16BIT,車体位置x (ﾓﾆﾀ用) [mm] H
ｸﾞﾛｰﾊﾞﾙ,DM11736,17925,10進数16BIT,車体位置y (ﾓﾆﾀ用) [mm] L
ｸﾞﾛｰﾊﾞﾙ,DM11737,126,10進数16BIT,車体位置y (ﾓﾆﾀ用) [mm] H
ｸﾞﾛｰﾊﾞﾙ,DM11738,1813,10進数16BIT,車体角度r (ﾓﾆﾀ用) [mm] L
ｸﾞﾛｰﾊﾞﾙ,DM11739,0,10進数16BIT,車体角度r (ﾓﾆﾀ用) [mm] H
ｸﾞﾛｰﾊﾞﾙ,DM11740,1,10進数16BIT,auto_track 動作ﾓｰﾄﾞ
ｸﾞﾛｰﾊﾞﾙ,DM11741,17289,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11742,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11743,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11744,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11745,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11746,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11747,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11748,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11749,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11750,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11751,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11752,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11753,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11754,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11755,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11756,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11757,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11758,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11759,0,10進数16BIT,
ｸﾞﾛｰﾊﾞﾙ,DM11760,62890,10進数16BIT,ﾊﾞｯﾌｧ出力 車体速度 [mm/s] L
ｸﾞﾛｰﾊﾞﾙ,DM11761,17140,10進数16BIT,ﾊﾞｯﾌｧ出力 車体速度 [mm/s] H
ｸﾞﾛｰﾊﾞﾙ,DM11762,0,10進数16BIT,ﾊﾞｯﾌｧ出力 (予約)
