"採用 左"
"DATA No","DATE","TIME","採用情報 左 撮像回数","採用情報 左 株番号","採用情報 左 撮像数","採用情報 左 処理時間[s]","採用情報 左 判定値","採用情報 左 スコア","採用情報 左 サイズＸ[mm]","採用情報 左 サイズＹ[mm]","採用情報 左 縦横比","採用情報 左 中心Ｘ[mm]","採用情報 左 中心Ｙ[mm]","採用情報 左 分解能","採用情報 左 積算位置[mm]","採用情報 左 車体昇降[mm]","採用情報 左 外葉押え[mm]","採用情報 左 スコア閾値","採用情報 左 サイズ閾値(小)[mm]","採用情報 左 サイズ閾値(大)[mm]","採用情報 左 縦横比閾値"
13,2025/12/17,11:16:28,119,15,3,1.120000E+02,6,933,7.712000E+03,9.749000E+03,1.200000E+01,5.943000E+03,4.323300E+04,3.338800E+04,3.489900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
14,2025/12/17,11:16:31,130,16,7,1.100000E+02,2,0,0.000000E+00,0.000000E+00,1.100000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.706600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
15,2025/12/17,11:16:33,137,17,7,1.030000E+02,4,661,5.375000E+03,4.006000E+03,1.300000E+01,6.610000E+03,4.039000E+03,3.338800E+04,5.472000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
16,2025/12/17,11:16:36,144,18,7,1.090000E+02,2,0,0.000000E+00,0.000000E+00,1.300000E+01,0.000000E+00,0.000000E+00,0.000000E+00,3.132600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
17,2025/12/17,11:16:38,148,19,4,1.130000E+02,6,989,8.079000E+03,9.315000E+03,1.100000E+01,4.273000E+03,5.765700E+04,3.338800E+04,4.173300E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
18,2025/12/17,11:16:41,157,20,6,1.050000E+02,6,935,5.776000E+03,5.008000E+03,1.100000E+01,9.680000E+02,5.438500E+04,3.338800E+04,1.138700E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
19,2025/12/17,11:16:43,160,21,2,1.130000E+02,1,998,1.068400E+04,1.188600E+04,1.100000E+01,2.704000E+03,1.128500E+04,3.338800E+04,4.831600E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
20,2025/12/17,11:16:46,167,22,7,1.050000E+02,6,901,5.342000E+03,5.609000E+03,1.000000E+01,6.293200E+04,1.372200E+04,3.338800E+04,3.414000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
21,2025/12/17,11:16:48,173,23,6,1.050000E+02,6,898,5.041000E+03,5.141000E+03,1.000000E+01,6.326600E+04,5.729000E+04,3.338800E+04,3.825100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
22,2025/12/17,11:16:51,178,24,4,1.140000E+02,1,998,9.749000E+03,1.208600E+04,1.200000E+01,6.373400E+04,1.736000E+03,3.338800E+04,4.873000E+03,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
23,2025/12/17,11:16:53,185,25,7,9.800000E+01,6,844,8.647000E+03,8.413000E+03,1.000000E+01,2.637000E+03,6.119600E+04,3.338800E+04,4.022200E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
24,2025/12/17,11:16:56,191,26,6,1.170000E+02,5,801,6.777000E+03,4.540000E+03,1.400000E+01,2.637000E+03,6.210000E+03,3.338800E+04,1.220800E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
25,2025/12/17,11:16:58,196,27,4,1.030000E+02,6,872,6.076000E+03,5.175000E+03,1.100000E+01,2.604000E+03,5.198100E+04,3.338800E+04,1.461000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
26,2025/12/17,11:17:01,206,28,7,1.040000E+02,4,725,8.513000E+03,1.101800E+04,1.200000E+01,6.777000E+03,2.053300E+04,3.338800E+04,2.472900E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
27,2025/12/17,11:17:03,208,29,2,1.120000E+02,1,986,1.425600E+04,1.275400E+04,1.100000E+01,5.275000E+03,1.108400E+04,3.338800E+04,2.593400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
28,2025/12/17,11:17:06,211,30,3,1.170000E+02,1,874,1.085100E+04,1.308800E+04,1.200000E+01,6.610000E+03,1.362200E+04,3.338800E+04,6.141400E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
29,2025/12/17,11:17:08,219,31,8,1.020000E+02,6,946,6.510000E+03,7.579000E+03,1.100000E+01,4.206000E+03,6.393400E+04,3.338800E+04,3.001100E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
30,2025/12/17,11:17:11,221,32,2,1.110000E+02,6,937,8.881000E+03,7.579000E+03,1.100000E+01,4.307000E+03,5.592100E+04,3.338800E+04,2.976000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
31,2025/12/17,11:17:13,221,33,2,1.110000E+02,0,937,8.881000E+03,7.579000E+03,1.100000E+01,4.307000E+03,5.592100E+04,3.338800E+04,2.976000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
32,2025/12/17,11:17:16,221,34,2,1.110000E+02,0,937,8.881000E+03,7.579000E+03,1.100000E+01,4.307000E+03,5.592100E+04,3.338800E+04,2.976000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
33,2025/12/17,11:17:18,221,35,2,1.110000E+02,0,937,8.881000E+03,7.579000E+03,1.100000E+01,4.307000E+03,5.592100E+04,3.338800E+04,2.976000E+04,0.000000E+00,0.000000E+00,800,1.100000E+04,5.000000E+04,1.200000E+01
