"クローラ_ロギングデータ"
"DATA No","DATE","TIME","軸1_ｸﾛｰﾗ補正後座標","軸1 帰還ﾄﾙｸﾓﾆﾀ","軸1_ｱﾝﾌﾟ内温度","軸2_ｸﾛｰﾗ補正後座標","軸2 帰還ﾄﾙｸﾓﾆﾀ","軸2_ｱﾝﾌﾟ内温度"
204,2025/12/15,13:32:54,0,0,31,12,0,0
205,2025/12/15,13:32:54,0,0,31,12,0,0
206,2025/12/15,13:32:54,0,0,31,12,0,0
207,2025/12/15,13:32:55,0,0,31,12,0,0
208,2025/12/15,13:32:55,0,0,31,12,0,0
209,2025/12/15,13:32:55,0,0,31,12,0,0
210,2025/12/15,13:32:55,0,0,31,12,0,0
211,2025/12/15,13:32:55,0,0,31,12,0,0
212,2025/12/15,13:32:56,0,0,31,12,0,0
213,2025/12/15,13:32:56,0,0,31,12,0,0
214,2025/12/15,13:32:56,0,0,31,12,0,0
215,2025/12/15,13:32:56,0,0,31,12,0,0
216,2025/12/15,13:32:56,0,0,31,12,0,0
217,2025/12/15,13:32:57,0,0,31,12,0,0
218,2025/12/15,13:32:57,0,0,31,12,0,0
219,2025/12/15,13:32:57,0,0,31,12,0,0
220,2025/12/15,13:32:57,0,0,31,12,0,0
221,2025/12/15,13:32:57,0,0,31,12,0,0
222,2025/12/15,13:32:58,0,0,31,12,0,0
223,2025/12/15,13:32:58,0,0,31,12,0,0
224,2025/12/15,13:32:58,0,0,31,12,0,0
225,2025/12/15,13:32:58,0,0,31,12,0,0
226,2025/12/15,13:32:58,0,0,31,12,0,0
227,2025/12/15,13:32:59,0,0,31,12,0,0
228,2025/12/15,13:32:59,0,0,31,12,0,0
229,2025/12/15,13:32:59,0,0,31,12,0,0
230,2025/12/15,13:32:59,0,0,31,12,0,0
231,2025/12/15,13:32:59,0,0,31,12,0,0
232,2025/12/15,13:33:00,0,0,31,12,0,0
233,2025/12/15,13:33:00,0,0,31,12,0,0
234,2025/12/15,13:33:00,0,0,31,12,0,0
235,2025/12/15,13:33:00,0,0,31,12,0,0
236,2025/12/15,13:33:00,0,0,31,12,0,0
237,2025/12/15,13:33:01,0,0,31,12,0,0
238,2025/12/15,13:33:01,0,0,31,12,0,0
239,2025/12/15,13:33:01,0,0,31,12,0,0
240,2025/12/15,13:33:01,0,0,31,12,0,0
241,2025/12/15,13:33:01,0,0,31,12,0,0
242,2025/12/15,13:33:02,0,0,31,12,0,0
243,2025/12/15,13:33:02,0,0,31,12,0,0
244,2025/12/15,13:33:02,0,0,31,12,0,0
245,2025/12/15,13:33:02,0,0,31,12,0,0
246,2025/12/15,13:33:02,0,0,31,12,0,0
