FILE_KBN:OperationTrace
[FileInfo]
Date,'2025/12/17 15:04:29'
SetupVer,'213.001'
DBVer,'059.001'
[AxisInfo]
'0x1','','05300005','GADSA05AH24','GAM1AA200H0','01.0.12','0002-0003-0103-0002-0000-0000-0000-0000','0','','0',''
[TraceConditionInfo]
TraceMode,'0x03','512ポイント'
TriggerMode,'0x00','AUTO'
ContinuousAutoMode,'1'
SamplingCycleTime,'40000','5000'
Analog-CH1,'0x1','0x00','VMON:速度ﾓﾆﾀ','','',''
Analog-CH2,'0x1','0x02','TMON:ﾄﾙｸ(推力)ﾓﾆﾀ','','',''
Analog-CH3,'0x1','0x04','PMON:位置偏差ﾓﾆﾀ','','',''
Analog-CH5,'0x1','0x0D','TRMS:実効ﾄﾙｸ(推力)ﾓﾆﾀ','','',''
Analog-CH6,'0x1','0x0C','RegR:回生抵抗動作率ﾓﾆﾀ','','',''
Digital-CH1,'0x1','0x13','TLIM:ﾄﾙｸ(推力)制限中','',''
Digital-CH2,'0x1','0x15','SACT:ﾓｰﾀ励磁中','',''
Digital-CH3,'0x1','0x10','INP:位置決め完了中','',''
Digital-CH4,'0x1','0x1C','ALM:ｱﾗｰﾑ状態中','',''
[WindowSettings]
WindowWidth,'900'
WindowHeight,'600'
ScaleWidth,'88'
GraphLocationX,'0'
GraphLocationY,'821.500000000025'
TimeRange,'2000'
ScaleCH,'1'
tCursorOn0,'1'
t1Point0,'0'
t2Point0,'0'
t1Color0,'FF00FF00'
t2Color0,'FFFFFF00'
vCursorOn0,'1'
v1Point0,'1104'
v2Point0,'1104'
v1Color0,'FFFF00FF'
v2Color0,'FFFFA500'
tCursorOn1,'1'
t1Point1,'0'
t2Point1,'0'
t1Color1,'FF00FF00'
t2Color1,'FFFFFF00'
vCursorOn1,'1'
v1Point1,'0'
v2Point1,'0'
v1Color1,'FFFF00FF'
v2Color1,'FFFFA500'
OverlapWaveform,'False'
ActiveTrace,'0'
Analog-CH1-RangeMode,'0'
Analog-CH1-Range,'200'
Analog-CH1-Offset,'106'
Analog-CH1-Visible,'1'
Analog-CH2-RangeMode,'0'
Analog-CH2-Range,'20'
Analog-CH2-Offset,'26.2'
Analog-CH2-Visible,'1'
Analog-CH3-RangeMode,'0'
Analog-CH3-Range,'5000000'
Analog-CH3-Offset,'-1389585'
Analog-CH3-Visible,'1'
Analog-CH5-RangeMode,'0'
Analog-CH5-Range,'1'
Analog-CH5-Offset,'0'
Analog-CH5-Visible,'1'
Analog-CH6-RangeMode,'0'
Analog-CH6-Range,'1'
Analog-CH6-Offset,'0'
Analog-CH6-Visible,'1'
Digital-CH1-Visible,'1'
Digital-CH2-Visible,'1'
Digital-CH3-Visible,'1'
Digital-CH4-Visible,'1'
[MeasureInfo]
'No-00','1','2025/12/17 15:03:26'
''
'No-01','0','2025/12/17 14:40:20'
''
'No-02','0','2025/12/17 14:39:55'
''
[BufferPointInfo]
'','No-00','','','','','','','','','No-01','','','','','','','','','No-02','','','','','','','',''
Point,'A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4','A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4','A_CH1','A_CH2','A_CH3','A_CH4','A_CH5','A_CH6','D_CH1','D_CH2','D_CH3','D_CH4'
'88','772','11.2','1364341','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'89','770','4.8','-218395','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'90','755','6.7','726484','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'91','792','6.8','-940970','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'92','747','19.6','531964','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'93','781','13.6','442013','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'94','-1238','-97.3','-7267016','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'95','-1222','-97.5','368330','','35','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'96','-1155','-112.7','161396','','36','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'97','-1127','-126.8','228029','','40','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'98','-1220','-97.1','1635633','','42','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'99','869','14.2','19220915','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'100','806','0.8','582343','','36','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'101','779','7.7','-324890','','36','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'102','763','12.8','535721','','36','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'103','-1190','-108.8','-2136538','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'104','-1100','-126.6','-1594746','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'105','1','-70.9','2895120','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'106','795','0.8','-353002','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'107','777','-1.2','-646170','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'108','747','7.5','742542','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'109','-1187','-110.2','-8963406','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'110','-1200','-108.6','785332','','40','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'111','804','1.1','1400388','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'112','797','-2.6','-575325','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'113','-1147','-104','-5378811','','37','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'114','-1119','-93.4','1430770','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'115','-1139','-112.5','1559914','','39','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'116','814','-1.9','1447992','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'117','793','16.7','684076','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'118','798','8.9','-388049','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'119','1025','66.6','6607359','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'120','267','8.1','-4071184','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'121','-4','-14.9','-269008','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
'122','0','-14.7','33635','','38','0','0','1','0','0','','','','','','','','','','','','','','','','','','','',''
